1924年在法国夏蒙尼冬奥会上决出的第一个项目是什么？,男子500米速度滑冰
隋文静2018年12月12日，隋文静获得了什么?,2018年度大本钟奖之赫拉特勒斯奖之十杰华裔运动员奖项
隋文静2019年3月21日，隋文静/韩聪以234.84分获得了什么?,2019年世界花样滑冰锦标赛双人滑冠军
隋文静韩聪获得了什么?,最佳组合奖
隋文静【2008年度】★2009年4月9日-10日赛会名是什么?,中华人民共和国第十一届全国运动会（青岛）总分（名次）：137.19（5）自由滑：90.79（4）短节目：46.4（8）
隋文静隋文静2次获得世界青年花样滑冰锦标赛冠军，多少次获得世界花样滑冰大奖赛总决赛青年组冠军?,2
隋文静[1]2017年2月18日，隋文静和韩聪以历史最高分225.多少分夺得四大洲花样滑冰锦标赛双人滑冠军?,3
隋文静[2]11月11日，获得多少国际滑联花样滑冰大奖赛日本站双人滑冠军?,2017
隋文静3月21日，隋文静/韩聪以234.84分获得多少年世界花样滑冰锦标赛双人滑冠军?,2019
隋文静2017年2月18日，隋文静和韩聪以历史最高分225.多少分夺得四大洲花样滑冰锦标赛双人滑冠军?,3
隋文静2019年2月10日，隋文静/韩聪以211.11的总分获得多少年四大洲花样滑冰锦标赛双人滑冠军?,2019
隋文静冬奥会之后，决定走上花样滑冰道路的，两人从多少年开始联手组队?,2007
隋文静世界锦标赛上，他们大幅度提升个人最好成绩，以突破多少分大关的表现折桂?,230
隋文静2017-2018赛季，花样滑冰大奖赛成年组双人自由滑比赛，隋文静/韩聪以230.多少分摘得银牌?,89
隋文静2018年平昌冬奥会上，中国选手隋文静/韩聪以235.多少夺得花样滑冰双人滑亚军?,47
隋文静2018年10月14日，隋文静/韩聪获得2017-多少赛季冰雪榜样评选最佳组合奖项?,18
隋文静2017年国际滑联上海大奖赛，中国选手隋文静/韩聪以140.多少分夺得双人滑冠军?,37
隋文静隋文静多少次获得世界青年花样滑冰锦标赛冠军，2次获得世界花样滑冰大奖赛总决赛青年组冠军?,2
隋文静隋文静，多少年7月18日出生于中国黑龙江省哈尔滨市，中国花样滑冰双人滑女运动员，搭档韩聪?,1995
隋文静首次参加成年组世界大赛的隋文静和韩聪便获得了多少年四大洲花样滑冰锦标赛双人滑冠军?,2012
隋文静[多少]2017年2月18日，隋文静和韩聪以历史最高分225.03分夺得四大洲花样滑冰锦标赛双人滑冠军?,1
隋文静[多少]11月11日，获得2017国际滑联花样滑冰大奖赛日本站双人滑冠军?,2
隋文静双人滑冠军。多少年隋文静和韩聪再度获得四大洲花样滑冰锦标赛双人滑冠军?,2014
隋文静多少年2月18日，隋文静和韩聪以历史最高分225.03分夺得四大洲花样滑冰锦标赛双人滑冠军?,2017
隋文静多少年2月10日，隋文静/韩聪以211.11的总分获得2019年四大洲花样滑冰锦标赛双人滑冠军?,2019
隋文静在多少-2012赛季复制了赛季不败的纪录，实现了世青赛的双人三连冠?,2011
隋文静多少年的四大洲锦标赛，两人以刷新职业生涯最高分的成绩再次夺冠?,2014
隋文静多少-2016赛季，隋文静/韩聪第三次拿下了四大洲锦标赛的金牌，?,2015
隋文静多少-2017赛季，由于隋文静进行脚踝手术，他们缺席了前半个赛季，直到四大洲锦标赛上才复出?,2016
隋文静多少-2018赛季，花样滑冰大奖赛成年组双人自由滑比赛，隋文静/韩聪以230.89分摘得银牌?,2017
隋文静上，中国选手隋文静/韩聪以多少.47夺得花样滑冰双人滑亚军?,235
隋文静多少年10月14日，隋文静/韩聪获得2017-18赛季冰雪榜样评选最佳组合奖项?,2018
隋文静多少年国际滑联上海大奖赛，中国选手隋文静/韩聪以140.37分夺得双人滑冠军?,2017
隋文静/韩聪，师从谁?,国家花样滑冰队总教练姚滨
隋文静·韩聪栾波，隋文静岁，韩聪17岁，两人在全运会赛场上便有什么获得第几名?,第四名
隋文静·韩聪自由滑项目中，一曲《弗拉门戈灵魂》掀开两人冰上舞步的序幕，二人表现如何?,两人之间默契的配合以及姿态的优美，还是令现场观众爆发出热烈的掌声
隋文静·韩聪冰上舞蹈等各个环节均显得毫无瑕疵，节目如何?,节目编排精心巧妙，节奏不快，却难度极大，亮点十足，整套节目一气呵成，当他们完成最后一个动作时，观众长时间鼓掌叫好，有人甚至起立致敬
"隋文静·韩聪在2009年9月的全国锦标赛,，名不见经传的隋文静/韩聪以黑马姿态出现，以较稳定的表现获得了什么?",全国冠军
隋文静·韩聪凭借这套出色的节目，隋文静/韩聪的技术分达到惊人的75.54分，要知道，是什么?,自2004年至今，双人滑项目技术分的最高分
隋文静·韩聪隋文静/韩聪，是中国双人滑选手的后起之秀，师从国家花样滑冰队总教练姚滨多少年代的双人滑搭档栾波?,80
隋文静·韩聪在多少年花样滑冰四大洲锦标赛双人滑中，隋文静/韩聪夺得他们第一个四大洲赛冠军?,2012
隋文静·韩聪自由滑多少.08分，总成绩201.83分的优异表现，夺得他们第一个四大洲赛冠军?,135
隋文静/韩聪的技术分达到惊人的多少.54分，要知道，这是自2004年至今，双人滑项目技术分的最高分?,75
雅罗斯拉夫尔火车头冰球俱乐部的中文队名是什么?,雅罗斯拉夫尔火车头冰球俱乐部
雅罗斯拉夫尔火车头冰球俱乐部的运动项目是什么?,冰球
雅罗斯拉夫尔火车头冰球俱乐部的所属地区是什么?,雅罗斯拉夫尔
雅罗斯拉夫尔火车头冰球俱乐部的主场馆是什么?,火车头竞技2000体育馆
雅罗斯拉夫尔火车头冰球俱乐部的拥有者是什么?,尤里雅科夫列夫
雅罗斯拉夫尔火车头冰球俱乐部的主要荣誉是什么?,俄罗斯冰球联赛冠军3次俄罗斯冰球联赛亚军2次俄罗斯冰球联赛季军4次
雅罗斯拉夫尔火车头冰球俱乐部的外文队名是什么?,Хоккейныйклуб?Локомотив?Ярославль（俄语）
雅罗斯拉夫尔火车头冰球俱乐部的角逐赛事是什么?,俄罗斯大陆冰球联盟
雅罗斯拉夫尔火车头冰球俱乐部的成立时间是什么?,1949年
雅罗斯拉夫尔火车头冰球俱乐部的容纳人数是什么?,9046
雅罗斯拉夫尔火车头冰球俱乐部的现任主教练是什么?,彼得沃洛布耶夫
雅罗斯拉夫尔火车头冰球俱乐部的队服颜色是什么?,红色、白色和蓝色
雅罗斯拉夫尔火车头冰球俱乐部于1949年在苏联雅罗斯拉夫尔州成立，俱乐部队服由当地传统的有什么?,红、白、蓝三色组成
雅罗斯拉夫尔火车头冰球俱乐部在2011年9月7日9俄罗斯雅罗斯拉夫尔客机坠毁事故中，机上载有什么?,37名雅罗斯拉夫尔“火车头”冰球俱乐部队员和教练，以及8名机组成员
雅罗斯拉夫尔火车头冰球俱乐部雅罗斯拉夫尔州成立，俱乐部队服由当地传统的有什么?,红、白、蓝三色组成
雅罗斯拉夫尔火车头冰球俱乐部该队拥有什么?,德国、拉脱维亚、捷克、白俄罗斯和斯洛伐克等国外援
雅罗斯拉夫尔火车头冰球俱乐部37名冰球队中包括什么?,包括了26名俄罗斯籍球员和11名外籍教练和球员
雅罗斯拉夫尔火车头冰球俱乐部是俄罗斯传统强队，曾于1997年、2002年和2003年获得了什么?,俄罗斯超级联赛冠军
雅罗斯拉夫尔火车头冰球俱乐部雅罗斯拉夫尔火车头冰球俱乐部(俄语是什么?,ХоккейныйклубЛокомотивЯрославль)
雅罗斯拉夫尔火车头冰球俱乐部雅罗斯拉夫尔火车头冰球俱乐部（俄语是什么?,ХоккейныйклубЛокомотивЯрославль
雅罗斯拉夫尔火车头冰球俱乐部队服是由什么组成的?,当地传统的有红、白、蓝三色
雅罗斯拉夫尔火车头冰球俱乐部雅罗斯拉夫尔州成立，俱乐部队服是由什么组成的?,当地传统的有红、白、蓝三色
雅罗斯拉夫尔火车头冰球俱乐部在1997赛季赢得了什么?,甲级联赛冠军
俄罗斯大陆冰球联盟（KHL），其主场为火车头竞技2000体育馆，能容纳最多多少名观众?,9046
俄罗斯大陆冰球联盟(KHL)，其主场为火车头竞技2000体育馆，造价达62000万美元，能容纳最多多少名观众?,9046
雅罗斯拉夫尔火车头冰球俱乐部37名冰球队中包括26名俄罗斯籍球员和多少名外籍教练和球员?,11
大陆冰球联盟（KHL），其主场为火车头竞技2000体育馆，造价达62000万美元，能容纳最多多少名观众?,9046
雅罗斯拉夫尔火车头冰球俱乐部雅罗斯拉夫尔“火车头”冰球俱乐部队员和教练，以及多少名机组成员?,8
雅罗斯拉夫尔火车头冰球俱乐部成立于1949年，数次更换队名，是俄罗斯冰球的一支近多少年来崛起的传统劲旅?,20
雅罗斯拉夫尔火车头队曾在1997赛季、2002赛季和多少赛季三度夺得俄罗斯联赛冠军?,2003
雅罗斯拉夫尔火车头冰球俱乐部在捷克籍主教练弗拉基米尔武伊科的带领下接连取得了2002赛季和多少赛季冠军?,2003
雅罗斯拉夫尔火车头冰球俱乐部雅罗斯拉夫尔州坠毁，多少人死亡?,43
2011年9月7日9俄罗斯雅罗斯拉夫尔客机坠毁事故中，机上载有37名雅罗斯拉夫尔火车头冰球俱乐部队员和教练，以及多少名机组成员?,8
雅罗斯拉夫尔火车头冰球俱乐部俄紧急情况部初步证实，有多少名外籍人士遇难?,11
俱乐部目前参加俄罗斯大陆冰球联盟（KHL），其主场为火车头竞技多少体育馆?,2000
雅罗斯拉夫尔火车头冰球俱乐部于多少年在苏联雅罗斯拉夫尔州成立，俱乐部队服由当地传统的有红、白、蓝三色组成?,1949
大陆冰球联盟（KHL），其主场为火车头竞技多少体育馆，造价达多少万美元，能容纳最多9046名观众?,62000
雅罗斯拉夫尔火车头冰球俱乐部成立于多少年?,1949
雅罗斯拉夫尔火车头队曾在多少赛季、2002赛季和2003赛季三度夺得俄罗斯联赛冠军?,1997
雅罗斯拉夫尔火车头冰球俱乐部在苏联时期，为苏联冰球二级联赛A组球队，多少-84赛季球队晋级甲级联赛A组?,1983
雪板的中文名是什么?,雪板
雪板的类型是什么?,运动器材
雪板的别称是什么?,单板
雪板的外文名是什么?,SnowBoard
雪板的构成是什么?,保护层、液体金属、扳芯、边刃等
雪板的种类是什么?,竞赛雪板、追逐赛雪板、野雪系列、花样板、女式系列
雪板其类型有什么?,竞赛雪板、追逐赛雪板、野雪系列、花样板、女式系列等
雪板在根据雪道情况设有什么?,转弯和障碍，这需要滑雪板有很好的性能和适中的转弯半径
雪板专门为女士设计有什么?,各种不同类型的产品
雪板最好有什么来固定?,专用的调整桌来固定，如果没有的话，要准备一张牢固的台子和万力虎钳
雪板操作过程中，固定装置的防滑器会有妨碍，要怎么做?,要事先把它捆到不弹起状态
雪板3、滑行面、底边的研磨用测平仪或金属刮刀等有什么来检测滑行面和雪板边的高度?,平面的工具
雪板但是，当侧边有烫伤时，锉刀和砂纸能不能磨掉?,不能
雪板如果有卷边(边侧上的突出部分)，要怎么处理?,先用锉刀磨掉
雪板例如，底边磨掉1度的话，侧边如果不磨出1度锐角，那么侧边自身的角度就达不到90度，而成为什么?,钝角
雪板当侧边上部有什么时，需先将其清除，才能顺利地进行操作?,卷边
雪板虽不必特别在意雪蜡的种类，但是与含氟量较大的雪蜡相比，以石蜡为主的雪蜡因对滑行面具有什么特点?,良好的渗透性，适于保管时使用
雪板如果是雪蜡专用熨斗，大多都有什么装置?,防止温度过高的装置
雪板保管时为避免雪板落灰，最有效的办法是什么?,放入全封闭的袋中
雪板一、初级板1、板子本身很少有加强的控制系统，质地比较软，大部分的雪场还在用这种雪板，适合谁用?,适合体重小和新手使用
初级板的固定器大多为垫板式，通过8个以上螺栓把垫板固定在雪板表面上，固定器再安装在垫板之上，这样有什么作用?,效地降低了成本
雪板高级竞技级比赛板也有很多是采用垫板式固定器，为什么?,原因加厚垫板是提升雪靴高度，可以获得更大的倾斜角度
雪板3、初级板很少有减震系统，高速的时候稳定性如何，板子本身软也有关系?,差
雪板3、良好的减震系统，滑行的舒适性很好，这也是中级雪板的客户定位决定的，竞技级雪板都没有什么?,任何减震
雪板良好的减震系统滑行的舒适性最高，高速的时候板子几乎没有什么?,任何颤抖，只能看到被切开的雪面
雪板训练级的竞技板有什么?,减震系统，还算舒适，但是板子很硬确保出弯时的弹性加速
雪板修补材料包括什么?,包括了直接燃烧溶化型和用焊枪溶化型
雪板底边磨掉1度的话，侧边如果不磨出1度锐角，那么侧边自身的角度就达不到多少度，而成为钝角?,90
雪板使用油石或金刚石锉刀来完成打磨时，因已用锉刀找好了角度，所以需沿着这个角度来打磨便是。用什么就不必担心角度问题了?,同一个导向器，
雪板二、中级板1、板子本身具备板刃控制系统，多为Y型结构，如什么?,Y形控制系统，加倍木芯等等
雪板三、滑雪发烧友板或者民用高级板1、板子本身具备加强的控制系统，多为H型运动结构，如什么?,动能桥系统、Beta4、beta5、延长木芯等等，都是能使控制力量更好的传达到边刃，板子硬度很高、弹性适中
